case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(4,4)",4,4,1,1,0,2,"{""0"": 2}"
"R(4,4)",4,4,2,2,0,4,"{""0"": 8}"
"R(4,4)",4,4,3,4,0,9,"{""0"": 30, ""1"": 2}"
"R(4,4)",4,4,4,9,0,23,"{""0"": 130, ""1"": 12, ""2"": 2}"
"R(4,4)",4,4,5,23,0,63,"{""0"": 579, ""1"": 120, ""2"": 32, ""3"": 4, ""4"": 1}"
"R(4,4)",4,4,6,63,0,203,"{""0"": 2537, ""1"": 983, ""2"": 390, ""3"": 83, ""4"": 32, ""5"": 6, ""6"": 1}"
"R(4,4)",4,4,7,203,0,1279,"{""0"": 11852, ""1"": 7693, ""2"": 4226, ""3"": 1414, ""4"": 543, ""5"": 170, ""6"": 65, ""7"": 15, ""8"": 6}"
"R(4,4)",4,4,8,1279,0,6514,"{""0"": 99099, ""1"": 105529, ""2"": 69405, ""3"": 31144, ""4"": 13333, ""5"": 5243, ""6"": 2372, ""7"": 784, ""8"": 379, ""9"": 96, ""10"": 33, ""11"": 4, ""12"": 3}"
"R(4,4)",4,4,9,6514,0,5858,"{""0"": 490698, ""1"": 957541, ""2"": 839261, ""3"": 514328, ""4"": 273969, ""5"": 132781, ""6"": 67714, ""7"": 30897, ""8"": 16160, ""9"": 6597, ""10"": 3245, ""11"": 1250, ""12"": 478, ""13"": 179, ""14"": 50, ""15"": 17, ""16"": 1, ""17"": 2}"
"R(4,4)",4,4,10,5858,0,6,"{""0"": 82012, ""1"": 229275, ""2"": 313182, ""3"": 272605, ""4"": 180014, ""5"": 103853, ""6"": 57439, ""7"": 30157, ""8"": 17933, ""9"": 9259, ""10"": 5348, ""11"": 2820, ""12"": 1404, ""13"": 684, ""14"": 313, ""15"": 124, ""16"": 44, ""17"": 5}"
