case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(3,9)",3,9,1,1,0,2,"{""0"": 2}"
"R(3,9)",3,9,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(3,9)",3,9,3,3,0,6,"{""0"": 19, ""1"": 4, ""2"": 1}"
"R(3,9)",3,9,4,6,0,10,"{""0"": 62, ""1"": 23, ""2"": 9, ""3"": 1, ""4"": 1}"
"R(3,9)",3,9,5,10,0,25,"{""0"": 182, ""1"": 82, ""2"": 39, ""3"": 13, ""4"": 3, ""5"": 1}"
"R(3,9)",3,9,6,25,0,63,"{""0"": 724, ""1"": 431, ""2"": 266, ""3"": 116, ""4"": 46, ""5"": 13, ""6"": 4}"
"R(3,9)",3,9,7,63,0,173,"{""0"": 2882, ""1"": 2052, ""2"": 1575, ""3"": 841, ""4"": 429, ""5"": 181, ""6"": 75, ""7"": 21, ""8"": 7, ""9"": 1}"
"R(3,9)",3,9,8,173,0,3395,"{""0"": 12469, ""1"": 10487, ""2"": 8930, ""3"": 5863, ""4"": 3423, ""5"": 1779, ""6"": 839, ""7"": 333, ""8"": 127, ""9"": 35, ""10"": 3}"
"R(3,9)",3,9,9,3395,0,116750,"{""0"": 457873, ""1"": 414668, ""2"": 343711, ""3"": 237351, ""4"": 143088, ""5"": 76587, ""6"": 37689, ""7"": 16964, ""8"": 6886, ""9"": 2461, ""10"": 751, ""11"": 187, ""12"": 24}"
"R(3,9)",3,9,10,116750,0,154867,"{""0"": 705669, ""1"": 745324, ""2"": 655989, ""3"": 475108, ""4"": 299968, ""5"": 169892, ""6"": 86913, ""7"": 40876, ""8"": 17483, ""9"": 6816, ""10"": 2345, ""11"": 734, ""12"": 200, ""13"": 35, ""14"": 7}"
