case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(2,10)",2,10,1,1,0,1,"{""0"": 1, ""1"": 1}"
"R(2,10)",2,10,2,1,0,1,"{""0"": 1, ""1"": 2, ""2"": 1}"
"R(2,10)",2,10,3,1,0,1,"{""0"": 1, ""1"": 3, ""2"": 3, ""3"": 1}"
"R(2,10)",2,10,4,1,0,1,"{""0"": 1, ""1"": 4, ""2"": 6, ""3"": 4, ""4"": 1}"
"R(2,10)",2,10,5,1,0,1,"{""0"": 1, ""1"": 5, ""2"": 10, ""3"": 10, ""4"": 5, ""5"": 1}"
"R(2,10)",2,10,6,1,0,1,"{""0"": 1, ""1"": 6, ""2"": 15, ""3"": 20, ""4"": 15, ""5"": 6, ""6"": 1}"
"R(2,10)",2,10,7,1,0,1,"{""0"": 1, ""1"": 7, ""2"": 21, ""3"": 35, ""4"": 35, ""5"": 21, ""6"": 7, ""7"": 1}"
"R(2,10)",2,10,8,1,0,1,"{""0"": 1, ""1"": 8, ""2"": 28, ""3"": 56, ""4"": 70, ""5"": 56, ""6"": 28, ""7"": 8, ""8"": 1}"
"R(2,10)",2,10,9,1,1,0,"{""1"": 10, ""2"": 36, ""3"": 84, ""4"": 126, ""5"": 126, ""6"": 84, ""7"": 36, ""8"": 9, ""9"": 1}"
