case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(3,5)",3,5,1,1,0,2,"{""0"": 2}"
"R(3,5)",3,5,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(3,5)",3,5,3,3,0,6,"{""0"": 19, ""1"": 4, ""2"": 1}"
"R(3,5)",3,5,4,6,0,9,"{""0"": 61, ""1"": 24, ""2"": 9, ""3"": 1, ""4"": 1}"
"R(3,5)",3,5,5,9,0,20,"{""0"": 143, ""1"": 88, ""2"": 40, ""3"": 13, ""4"": 3, ""5"": 1}"
"R(3,5)",3,5,6,20,0,25,"{""0"": 434, ""1"": 426, ""2"": 253, ""3"": 105, ""4"": 45, ""5"": 13, ""6"": 4}"
"R(3,5)",3,5,7,25,0,19,"{""0"": 616, ""1"": 976, ""2"": 767, ""3"": 443, ""4"": 221, ""5"": 109, ""6"": 48, ""7"": 13, ""8"": 6, ""9"": 1}"
"R(3,5)",3,5,8,19,0,10,"{""0"": 442, ""1"": 1124, ""2"": 1191, ""3"": 1001, ""4"": 552, ""5"": 298, ""6"": 159, ""7"": 58, ""8"": 30, ""9"": 9}"
"R(3,5)",3,5,9,10,0,0,"{""0"": 81, ""1"": 613, ""2"": 1279, ""3"": 1198, ""4"": 789, ""5"": 497, ""6"": 312, ""7"": 167, ""8"": 101, ""9"": 45, ""10"": 28, ""11"": 4, ""12"": 6}"
"R(3,5)",3,5,10,0,,0,{}
"R(3,5)",3,5,11,0,,0,{}
"R(3,5)",3,5,12,0,,0,{}
