case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(3,10)",3,10,1,1,0,2,"{""0"": 2}"
"R(3,10)",3,10,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(3,10)",3,10,3,3,0,6,"{""0"": 19, ""1"": 4, ""2"": 1}"
"R(3,10)",3,10,4,6,0,10,"{""0"": 62, ""1"": 23, ""2"": 9, ""3"": 1, ""4"": 1}"
"R(3,10)",3,10,5,10,0,25,"{""0"": 182, ""1"": 82, ""2"": 39, ""3"": 13, ""4"": 3, ""5"": 1}"
"R(3,10)",3,10,6,25,0,63,"{""0"": 724, ""1"": 431, ""2"": 266, ""3"": 116, ""4"": 46, ""5"": 13, ""6"": 4}"
"R(3,10)",3,10,7,63,0,173,"{""0"": 2882, ""1"": 2052, ""2"": 1575, ""3"": 841, ""4"": 429, ""5"": 181, ""6"": 75, ""7"": 21, ""8"": 7, ""9"": 1}"
"R(3,10)",3,10,8,173,0,3396,"{""0"": 12470, ""1"": 10486, ""2"": 8930, ""3"": 5863, ""4"": 3423, ""5"": 1779, ""6"": 839, ""7"": 333, ""8"": 127, ""9"": 35, ""10"": 3}"
"R(3,10)",3,10,9,3396,0,117275,"{""0"": 458499, ""1"": 414563, ""2"": 343702, ""3"": 237351, ""4"": 143088, ""5"": 76587, ""6"": 37689, ""7"": 16964, ""8"": 6886, ""9"": 2461, ""10"": 751, ""11"": 187, ""12"": 24}"
"R(3,10)",3,10,10,117275,0,161416,"{""0"": 719116, ""1"": 742280, ""2"": 652433, ""3"": 472262, ""4"": 298088, ""5"": 168552, ""6"": 86220, ""7"": 40485, ""8"": 17311, ""9"": 6778, ""10"": 2347, ""11"": 730, ""12"": 204, ""13"": 34, ""14"": 7}"
