case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(3,7)",3,7,1,1,0,2,"{""0"": 2}"
"R(3,7)",3,7,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(3,7)",3,7,3,3,0,6,"{""0"": 19, ""1"": 4, ""2"": 1}"
"R(3,7)",3,7,4,6,0,10,"{""0"": 62, ""1"": 23, ""2"": 9, ""3"": 1, ""4"": 1}"
"R(3,7)",3,7,5,10,0,25,"{""0"": 182, ""1"": 82, ""2"": 39, ""3"": 13, ""4"": 3, ""5"": 1}"
"R(3,7)",3,7,6,25,0,62,"{""0"": 723, ""1"": 432, ""2"": 266, ""3"": 116, ""4"": 46, ""5"": 13, ""6"": 4}"
"R(3,7)",3,7,7,62,0,166,"{""0"": 2743, ""1"": 2062, ""2"": 1576, ""3"": 841, ""4"": 429, ""5"": 181, ""6"": 75, ""7"": 21, ""8"": 7, ""9"": 1}"
"R(3,7)",3,7,8,166,0,2329,"{""0"": 11191, ""1"": 10311, ""2"": 8726, ""3"": 5776, ""4"": 3380, ""5"": 1775, ""6"": 839, ""7"": 333, ""8"": 127, ""9"": 35, ""10"": 3}"
"R(3,7)",3,7,9,2329,0,36364,"{""0"": 252579, ""1"": 280769, ""2"": 246008, ""3"": 178156, ""4"": 113222, ""5"": 63655, ""6"": 32868, ""7"": 15391, ""8"": 6469, ""9"": 2378, ""10"": 742, ""11"": 187, ""12"": 24}"
"R(3,7)",3,7,10,36364,0,23766,"{""0"": 533668, ""1"": 782088, ""2"": 778150, ""3"": 626120, ""4"": 437094, ""5"": 277103, ""6"": 162192, ""7"": 85947, ""8"": 42469, ""9"": 18768, ""10"": 7676, ""11"": 2749, ""12"": 800, ""13"": 218, ""14"": 27, ""15"": 2}"
