case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(4,3)",4,3,1,1,0,2,"{""0"": 2}"
"R(4,3)",4,3,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(4,3)",4,3,3,3,0,5,"{""0"": 18, ""1"": 5, ""2"": 1}"
"R(4,3)",4,3,4,5,0,5,"{""0"": 41, ""1"": 27, ""2"": 10, ""3"": 1, ""4"": 1}"
"R(4,3)",4,3,5,5,0,2,"{""0"": 43, ""1"": 67, ""2"": 37, ""3"": 9, ""4"": 4}"
"R(4,3)",4,3,6,2,0,0,"{""0"": 10, ""1"": 46, ""2"": 38, ""3"": 23, ""4"": 7, ""5"": 3, ""6"": 1}"
"R(4,3)",4,3,7,0,,0,{}
"R(4,3)",4,3,8,0,,0,{}
"R(4,3)",4,3,9,0,,0,{}
"R(4,3)",4,3,10,0,,0,{}
"R(4,3)",4,3,11,0,,0,{}
"R(4,3)",4,3,12,0,,0,{}
