case_name,a,b,n,clean_layer_classes,delta_n_to_n_plus_1,next_layer_classes,phi_hist
"R(3,4)",3,4,1,1,0,2,"{""0"": 2}"
"R(3,4)",3,4,2,2,0,3,"{""0"": 7, ""1"": 1}"
"R(3,4)",3,4,3,3,0,5,"{""0"": 18, ""1"": 5, ""2"": 1}"
"R(3,4)",3,4,4,5,0,6,"{""0"": 41, ""1"": 27, ""2"": 10, ""3"": 1, ""4"": 1}"
"R(3,4)",3,4,5,6,0,2,"{""0"": 53, ""1"": 81, ""2"": 41, ""3"": 12, ""4"": 4, ""5"": 1}"
"R(3,4)",3,4,6,2,0,0,"{""0"": 8, ""1"": 50, ""2"": 38, ""3"": 19, ""4"": 9, ""5"": 3, ""6"": 1}"
"R(3,4)",3,4,7,0,,0,{}
"R(3,4)",3,4,8,0,,0,{}
"R(3,4)",3,4,9,0,,0,{}
"R(3,4)",3,4,10,0,,0,{}
"R(3,4)",3,4,11,0,,0,{}
"R(3,4)",3,4,12,0,,0,{}
